"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0,-0.1,0,5.7842,0,0,7.8861
0.074829,-0.1,0,0,0,0,7.0689
0.099772,-0.1,0,0,0,0,6.9294
0.3415,-0.1,0,0,0,0,4.4212
0.3666,-0.1,0,0,0,0,3.1086
0.37495,-0.1,0,0,0,0,2.4948
0.38331,-0.1,0,0,0,0,1.7992
0.39167,-0.1,0,0,0,0,1.0514
0.4,-0.1,0,0,0,0,0.27282
0.40833,-0.1,0,0,0,0,-0.55631
0.43333,-0.1,0,0,0,0,-2.9979
0.44167,-0.1,0,0,0,0,-3.6346
0.45,-0.1,0,0,0,0,-4.1433
0.45833,-0.1,0,0,0,0,-4.509
0.46667,-0.1,0,0,0,0,-4.7275
0.475,-0.1,0,0,0,0,-4.813
0.48333,-0.1,0,0,0,0,-4.7843
0.5,-0.1,0,0,0,0,-4.429
0.50833,-0.1,0,0,0,0,-4.1274
0.54167,-0.1,0,0,0,0,-2.4614
0.55,-0.1,0,0,0,0,-2.0044
0.63333,-0.1,0,0,0,0,1.0591
0.65833,-0.1,0,0,0,0,1.2719
0.66667,-0.1,0,0,0,0,1.2956
0.68333,-0.1,0,0,0,0,1.2952
0.69167,-0.1,0,0,0,0,1.2788
0.70833,-0.1,0,0,0,0,1.2256
0.71667,-0.1,0,0,0,0,1.1925
0.73333,-0.1,0,0,0,0,1.1194
0.74167,-0.1,0,0,0,0,1.081
0.75,-0.1,0,0,0,0,1.0423
0.75833,-0.1,0,0,0,0,1.0034
0.76667,-0.1,0,0,0,0,0.9648
0.775,-0.1,0,0,0,0,0.92654
0.78333,-0.1,0,0,0,0,0.88876
0.8,-0.1,0,0,0,0,0.81473
0.80833,-0.1,0,0,0,0,0.7785
0.825,-0.1,0,0,0,0,0.70748
0.83333,-0.1,0,0,0,0,0.67261
0.85,-0.1,0,0,0,0,0.60389
0.875,-0.1,0,0,0,0,0.50269
0.9,-0.1,0,0,0,0,0.40277
0.91667,-0.1,0,0,0,0,0.33648
0.925,-0.1,0,0,0,0,0.30342
0.94167,-0.1,0,0,0,0,0.23743
0.95,-0.1,0,0,0,0,0.20428
0.96667,-0.1,0,0,0,0,0.13762
0.975,-0.1,0,0,0,0,0.10402
0.99167,-0.1,0,0,0,0,0.035049
1,-0.1,0,4.5674,0.00023749,-7.7525e-06,0.0064163
0,-0.095,0,10,0,0,7.6747
0.099772,-0.095005,0,9.8106,0.031618,-1.9476e-07,6.9307
0.34149,-0.095237,0,9.2612,-0.0099026,-1.0094e-05,4.4597
0.3666,-0.095183,0,9.3717,-0.035141,-1.5527e-05,3.1363
0.37495,-0.095138,0,9.4353,-0.042874,-1.749e-05,2.5226
0.38331,-0.095086,0,9.5107,-0.050311,-1.9181e-05,1.8243
0.41666,-0.095051,0,9.8315,-0.052492,-2.2459e-05,-1.439
0.43333,-0.095053,0,9.9688,-0.038664,-2.1722e-05,-3.0262
0.44166,-0.095053,0,10.02,-0.029239,-2.1018e-05,-3.6666
0.45,-0.095053,0,10.055,-0.018804,-2.0256e-05,-4.1774
0.45833,-0.095053,0,10.076,-0.0075594,-1.94e-05,-4.5469
0.46667,-0.095053,0,10.079,0.004862,-1.8589e-05,-4.7733
0.475,-0.095053,0,10.066,0.018341,-1.7982e-05,-4.8662
0.48334,-0.095053,0,10.038,0.03191,-1.77e-05,-4.8391
0.49167,-0.095052,0,9.9954,0.04457,-1.7845e-05,-4.7041
0.55834,-0.095049,0,9.345,0.075941,-3.1217e-05,-1.5395
0.59167,-0.095024,0,9.0351,0.041138,-3.7208e-05,0.024078
0.63333,-0.095,0,8.8195,0.0091503,-3.5958e-05,1.0818
0.65833,-0.095,0,8.7591,-0.0027779,-3.233e-05,1.2823
0.66667,-0.095,0,8.7467,-0.0048328,-3.0904e-05,1.303
0.68333,-0.095,0,8.7291,-0.007253,-2.7974e-05,1.2989
0.69167,-0.095,0,8.7228,-0.0078674,-2.6544e-05,1.2814
0.70833,-0.095,0,8.7133,-0.0083181,-2.3868e-05,1.2267
0.71667,-0.095,0,8.7096,-0.0082719,-2.2647e-05,1.193
0.725,-0.095,0,8.7062,-0.0081038,-2.1524e-05,1.1569
0.73333,-0.095,0,8.7031,-0.0078467,-2.0507e-05,1.1192
0.74167,-0.095,0,8.7002,-0.0075256,-1.959e-05,1.0807
0.75,-0.095,0,8.6973,-0.0071608,-1.8774e-05,1.0417
0.75833,-0.095,0,8.6944,-0.0067677,-1.8056e-05,1.0028
0.76667,-0.095,0,8.6915,-0.0063586,-1.7437e-05,0.96408
0.775,-0.095,0,8.6885,-0.005943,-1.6884e-05,0.92577
0.78333,-0.095,0,8.6855,-0.0055273,-1.6386e-05,0.88795
0.8,-0.095,0,8.6791,-0.0047135,-1.5648e-05,0.8139
0.80833,-0.095,0,8.6758,-0.0043223,-1.5401e-05,0.77768
0.825,-0.095,0,8.6689,-0.0035806,-1.5087e-05,0.70668
0.83333,-0.095,0,8.6654,-0.0032318,-1.5001e-05,0.67183
0.85,-0.095,0,8.6582,-0.00258,-1.4943e-05,0.60316
0.875,-0.095,0,8.6469,-0.0017169,-1.5026e-05,0.50205
0.9,-0.095,0,8.6353,-0.00097746,-1.5182e-05,0.40221
0.91667,-0.095,0,8.6274,-0.00054254,-1.5258e-05,0.33597
0.925,-0.095,0,8.6234,-0.00033497,-1.5273e-05,0.3029
0.94167,-0.095,0,8.6154,0.00011196,-1.5296e-05,0.2367
0.95,-0.095,0,8.6113,0.00035539,-1.5353e-05,0.20346
0.96667,-0.095,0,8.6031,0.00082901,-1.5562e-05,0.13683
0.975,-0.095,0,8.5988,0.0010589,-1.5645e-05,0.10333
0.99167,-0.095,0,8.5899,0.0013954,-1.5384e-05,0.034357
1,-0.095,0,8.5866,0.0016495,-1.5448e-05,0
0,-0.09,0,10,0,0,7.4343
0.074828,-0.090003,0,10.116,0.028158,-1.447e-07,7.0688
0.099771,-0.090005,0,10.146,0.028336,-1.9534e-07,6.9345
0.34147,-0.090235,0,10.306,-0.020484,-1.0975e-05,4.524
0.36659,-0.090197,0,10.398,-0.055731,-1.6276e-05,3.1963
0.37494,-0.090158,0,10.448,-0.068149,-1.7994e-05,2.5831
0.38329,-0.090116,0,10.507,-0.08008,-1.9587e-05,1.8793
0.39165,-0.090097,0,10.571,-0.089707,-2.0833e-05,1.1017
0.40832,-0.090102,0,10.711,-0.093908,-2.2248e-05,-0.59614
0.41665,-0.090103,0,10.783,-0.088622,-2.2376e-05,-1.4837
0.43333,-0.090105,0,10.913,-0.065816,-2.175e-05,-3.1049
0.44166,-0.090106,0,10.962,-0.049439,-2.1116e-05,-3.7576
0.46667,-0.090106,0,11.033,0.0083485,-1.8909e-05,-4.8842
0.475,-0.090105,0,11.034,0.028113,-1.8458e-05,-4.9793
0.48334,-0.090105,0,11.026,0.046735,-1.8305e-05,-4.9461
0.53334,-0.0901,0,10.837,0.11196,-2.5198e-05,-2.944
0.55001,-0.090099,0,10.74,0.11343,-2.9615e-05,-1.9821
0.55834,-0.090098,0,10.689,0.11027,-3.1794e-05,-1.5112
0.59167,-0.090046,0,10.483,0.076212,-3.8211e-05,0.092622
0.63333,-0.09,0,10.285,0.034001,-3.7967e-05,1.1221
0.65,-0.09,0,10.227,0.022001,-3.602e-05,1.2663
0.65833,-0.09,0,10.202,0.017684,-3.4844e-05,1.3019
0.68333,-0.09,0,10.14,0.0094614,-3.101e-05,1.3078
0.69167,-0.09,0,10.122,0.0078697,-2.9744e-05,1.288
0.70833,-0.09,0,10.089,0.0058355,-2.7355e-05,1.2302
0.71667,-0.09,0,10.074,0.005239,-2.6265e-05,1.1955
0.725,-0.09,0,10.059,0.0048413,-2.5248e-05,1.1586
0.73333,-0.09,0,10.045,0.0045946,-2.4303e-05,1.1203
0.74167,-0.09,0,10.031,0.0044604,-2.3463e-05,1.0813
0.75,-0.09,0,10.017,0.0044082,-2.2719e-05,1.0421
0.75833,-0.09,0,10.003,0.0044141,-2.205e-05,1.0029
0.76667,-0.09,0,9.9898,0.0044598,-2.1455e-05,0.96408
0.78333,-0.09,0,9.9635,0.0046176,-2.0483e-05,0.8878
0.8,-0.09,0,9.9379,0.0048087,-1.9769e-05,0.81373
0.80833,-0.09,0,9.9254,0.0049036,-1.9507e-05,0.77751
0.825,-0.09,0,9.9008,0.005079,-1.9146e-05,0.70656
0.83333,-0.09,0,9.8888,0.0051568,-1.9028e-05,0.67174
0.85,-0.09,0,9.8653,0.0052909,-1.8886e-05,0.60313
